rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.200866,0.089642,9.836777,-0.000923,0.009372,-0.018093,0.000000,0.000000
-0.200835,0.089474,9.836492,0.008664,0.005111,-0.007441,0.000000,0.000000
-0.200814,0.089289,9.836199,-0.008380,0.005111,0.008538,0.000000,0.000000
-0.200770,0.089117,9.835958,-0.000923,0.010438,0.011734,0.000000,0.000000
-0.200755,0.088980,9.835764,0.002273,-0.002346,-0.002114,0.000000,0.000000
-0.200628,0.088791,9.835553,-0.000923,0.020025,-0.008506,0.000000,0.000000
-0.200524,0.088587,9.835320,-0.003054,0.001916,-0.020224,0.000000,0.000000
-0.200385,0.088513,9.835085,-0.008380,-0.003411,-0.004245,0.000000,0.000000
-0.200250,0.088556,9.834922,0.003338,0.007242,0.009604,0.000000,0.000000
-0.200091,0.088511,9.834787,0.008664,0.024286,0.027713,0.000000,0.000000
-0.199963,0.088480,9.834694,-0.005184,0.002981,0.003212,0.000000,0.000000
-0.199795,0.088404,9.834570,0.009729,-0.005541,-0.004245,0.000000,0.000000
-0.199562,0.088260,9.834297,0.009729,0.005111,0.004277,0.000000,0.000000
-0.199420,0.088155,9.833938,0.004403,0.000850,-0.017028,0.000000,0.000000
-0.199248,0.087969,9.833572,-0.003054,0.004046,-0.015963,0.000000,0.000000
-0.199005,0.087808,9.833261,0.000142,0.009372,0.006408,0.000000,0.000000
-0.198767,0.087625,9.832955,0.009729,0.004046,-0.011702,0.000000,0.000000
-0.198637,0.087493,9.832623,0.005468,0.011503,0.008538,0.000000,0.000000
-0.198405,0.087392,9.832269,-0.012641,0.010438,-0.010636,0.000000,0.000000
-0.198161,0.087278,9.831984,0.004403,-0.003411,-0.015963,0.000000,0.000000
-0.197945,0.087164,9.831718,-0.005184,0.005111,-0.005310,0.000000,0.000000
-0.197876,0.087082,9.831438,0.006534,-0.002346,0.008538,0.000000,0.000000
-0.197768,0.087124,9.831112,0.010795,0.010438,0.006408,0.000000,0.000000
-0.197696,0.087190,9.830882,0.004403,0.008307,-0.012767,0.000000,0.000000
-0.197579,0.087219,9.830640,0.012925,0.014699,0.018126,0.000000,0.000000
-0.197431,0.087199,9.830480,0.007599,0.006177,-0.001049,0.000000,0.000000
-0.197406,0.087198,9.830321,-0.007315,-0.006607,0.003212,0.000000,0.000000
-0.197387,0.087186,9.830219,-0.009445,-0.005541,-0.024485,0.000000,0.000000
-0.197411,0.087106,9.830129,0.008664,0.017894,0.003212,0.000000,0.000000
-0.197350,0.087016,9.830090,-0.007315,-0.018324,0.003212,0.000000,0.000000
