序号,时间戳,帧类型,帧格式,状态,数据长度, 数据(D0 - D7),ID,
1,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
2,16:57:54.8120566,标准帧,数据帧,接收,3,01 EE 6B,1,
3,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
4,16:57:54.8120566,标准帧,数据帧,接收,3,02 EE 6B,2,
5,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
6,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
7,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
8,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
9,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
10,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
11,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
12,16:57:54.8120566,标准帧,数据帧,接收,3,02 EE 6B,2,
13,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
14,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
15,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
16,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
17,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
18,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
19,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
20,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
21,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
22,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
23,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
24,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
25,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
26,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
27,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
28,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
29,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
30,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
